,gender_promoted,gender_received,age_promoted,age_received,ideologia_promoted,ideologia_received
sentiment,-0.02337146910773321,0.07462863744705493,0.36495214390445896,0.03145972102850178,0.03503967144514389,0.011858400661686263
emotion,-0.1857624574108188,0.12991645186522713,0.11894448896934809,0.14910040122309598,0.19139780184524502,0.13523386278685517
hate,-0.018877853079824213,0.03692413794085268,0.3846421535935944,-0.03903859152522664,0.028117665736011276,0.024263523858749556
