variable,target,cohens_d
XWE-GloVe_8,age_group,0.3014
XWE-GloVe_9,age_group,0.1057
XWE-GloVe_10,age_group,0.1945
XWE-GloVe_11,age_group,0.4375
XWE-GloVe_12,age_group,-0.0541
XWE-GloVe_13,age_group,0.2668
XWE-GloVe_14,age_group,0.0002
XWE-GloVe_15,age_group,-0.1232
XWE-GloVe_16,age_group,0.1122
XWE-GloVe_17,age_group,-0.0908
XWE-GloVe_18,age_group,-0.2528
XWE-GloVe_19,age_group,0.1267
XWE-GloVe_20,age_group,-0.026
XWE-GloVe_21,age_group,0.1869
XWE-GloVe_22,age_group,0.1903
XWE-GloVe_23,age_group,0.1879
XWE-GloVe_24,age_group,0.1968
XWE-GloVe_25,age_group,0.0249
XWE-GloVe_26,age_group,-0.0308
XWE-GloVe_27,age_group,0.5446
XWE-GloVe_28,age_group,0.1366
XWE-GloVe_29,age_group,-0.0051
XWE-GloVe_30,age_group,0.1173
XWE-GloVe_31,age_group,0.1239
XWE-GloVe_32,age_group,0.0878
XWE-GloVe_33,age_group,0.0295
XWE-GloVe_34,age_group,-0.0398
XWE-GloVe_35,age_group,0.4984
XWE-GloVe_36,age_group,0.0086
XWE-GloVe_37,age_group,-0.0508
XWE-GloVe_38,age_group,0.1799
XWE-GloVe_39,age_group,0.1198
XWE-GloVe_40,age_group,0.4184
XWE-GloVe_41,age_group,-0.1702
XWE-GloVe_42,age_group,0.0195
XWE-GloVe_43,age_group,0.1639
XWE-GloVe_44,age_group,0.1368
XWE-GloVe_45,age_group,-0.3805
XWE-GloVe_46,age_group,-0.0301
XWE-GloVe_47,age_group,-0.1734
XWE-GloVe_48,age_group,0.0766
XWE-GloVe_49,age_group,-0.5941
XWE-GloVe_50,age_group,0.0615
XWE-GloVe_51,age_group,0.3449
XWE-GloVe_52,age_group,0.5337
XWE-GloVe_53,age_group,-0.0916
XWE-GloVe_54,age_group,-0.2307
XWE-GloVe_55,age_group,-0.1272
XWE-GloVe_56,age_group,-0.0504
XWE-GloVe_57,age_group,0.0049
XWE-GloVe_58,age_group,0.6317
XWE-GloVe_59,age_group,0.2893
XWE-GloVe_60,age_group,-0.0801
XWE-GloVe_61,age_group,0.0256
XWE-GloVe_62,age_group,-0.1005
XWE-GloVe_63,age_group,0.05
XWE-GloVe_64,age_group,-0.0483
XWE-GloVe_65,age_group,0.0618
XWE-GloVe_66,age_group,-0.3121
XWE-GloVe_67,age_group,-0.0057
XWE-GloVe_68,age_group,0.255
XWE-GloVe_69,age_group,0.1788
XWE-GloVe_70,age_group,0.0141
XWE-GloVe_71,age_group,-0.0161
XWE-GloVe_72,age_group,-0.3135
XWE-GloVe_73,age_group,0.0049
XWE-GloVe_74,age_group,0.0449
XWE-GloVe_75,age_group,-0.279
XWE-GloVe_76,age_group,0.3136
XWE-GloVe_77,age_group,0.1964
XWE-GloVe_78,age_group,0.099
XWE-GloVe_79,age_group,-0.2049
XWE-GloVe_80,age_group,-0.1701
XWE-GloVe_81,age_group,-0.0532
XWE-GloVe_82,age_group,0.1332
